date,reward,reward(USD),MATIC(USD),diff,diff(USD)
2020-12-17,153493460.2847059,2984788.290173099,0.019445703319456047,888002.9795282781,17267.842486699898
2020-12-18,154361454.26704612,2934928.8727739025,0.01901335334465338,867993.9823402166,16503.476287267364
2020-12-19,155249554.17278913,3197971.440532926,0.02059890901183303,888099.9057430029,18293.889151817606
2020-12-20,156036998.50043952,3119770.172788966,0.0199937848252072,787444.327650398,15743.992448872013
2020-12-21,156824455.4600904,3014028.1090799533,0.019219120514319166,787456.9596508741,15134.230207369515
2020-12-22,157490765.7412486,2873698.013735834,0.018246771486635675,666310.2811582088,12158.011439489805
2020-12-23,158157071.23850325,2958605.9314405266,0.018706757202015353,666305.4972546399,12464.415159510656
2020-12-24,158682042.5049968,2437805.4063798785,0.015362831029245887,524971.2664935589,8065.044862349759
2020-12-25,159348347.9315516,2626707.248665891,0.016484056990626595,666305.4265547991,10983.416624493071
2020-12-26,160196356.27308118,2661365.3528792644,0.0166131453598266,848008.341529578,14088.085844176358
2020-12-27,160901530.5752317,3108216.57337313,0.019317507809037526,705174.3021505177,13622.210088525213
2020-12-28,161627395.00731412,2972359.1343719815,0.018390193903932383,725864.4320824146,13348.787653963363
2020-12-29,162171976.6159512,3073054.9298668006,0.0189493585389557,544581.6086370945,10319.472155785557
2020-12-30,162730926.46826875,3008126.5088316677,0.01848527857683051,558949.8523175418,10332.343730568035
2020-12-31,163453053.1895168,2966843.670303483,0.018151044672524742,722126.7212480605,13107.354376597368
2021-01-01,164118511.01413548,2887078.556298214,0.01759142547941805,665457.8246186674,11706.351731474933
2021-01-02,164602448.66702408,2935740.860160357,0.01783534135691441,483937.65288859606,8631.193234732067
2021-01-03,165146816.23144725,3145196.185701677,0.01904484904688564,544367.5644231737,10367.398090460136
2021-01-04,165630690.0089349,3305178.5684067383,0.019955109576784594,483873.7774876356,9655.754251098455
2021-01-05,166215578.59275767,3942653.9999350244,0.02372012318769989,584888.5838227868,13873.629259355836
2021-01-06,166801029.6268447,4088354.8296326813,0.02451036926318054,585451.0340870321,14349.621030984054
2021-01-07,167406753.35201347,5841461.815885128,0.03489382416730844,605723.7251687646,21136.017160005933
2021-01-08,167850834.0837954,5541420.488805112,0.033013958608264615,444080.73178192973,14660.86289777649
2021-01-09,168456346.07739553,5340465.110744143,0.03170236821051861,605511.9936001301,19196.164176996514
2021-01-10,169162775.85897496,5681554.184695571,0.03358631445863766,706429.7815794349,23726.37278707362
2021-01-11,169626170.11697543,5160314.244089598,0.030421686939762955,463394.25800046325,14097.235046573838
2021-01-12,170229071.77571848,4432744.36896699,0.026039878633699273,602901.6587430537,15699.486021725093
2021-01-13,171014931.86420685,4488518.757712998,0.026246355851997,785860.0884883702,20625.963532347614
2021-01-14,171479146.74713814,5162337.3448560415,0.030104752926420775,464214.88293129206,13975.074355413892
2021-01-15,172124839.94524592,5648838.308066979,0.032818263243491824,645693.198107779,21190.529350033208
2021-01-16,172629260.4219173,5856497.099517505,0.03392528639237544,504420.4766713679,17112.60913325469
2021-01-17,173194365.88536084,5697764.704510242,0.03289809501240736,565105.4634435475,18590.893228396322
2021-01-18,173597695.48171553,5901321.098002702,0.033994236395979524,403329.5963546932,13710.881643976441
2021-01-19,174181623.97117552,6277597.412402758,0.036040526372871605,583928.4894599915,21045.0901242539
2021-01-20,174785556.21225932,5727901.206494332,0.03277102141974695,603932.2410838008,19791.476408633014
