blocknumber,timestamp,totalStaked,totalRewards 
12467580,1621464309,16448465.502467955709440921,201179489.204211582010647007
12472580,1621531149,16448465.502467955709440921,201179489.204211582010647007
12477580,1621598643,16312242.808218896740102622,201179489.204211582010647007
12482580,1621665869,16483149.078110442050872348,201179489.204211582010647007
12487580,1621732434,16488197.817972070961422414,201179489.204211582010647007
12492580,1621799669,16488296.817972070961422414,201179489.204211582010647007
12497580,1621867159,16467964.480640795220070681,201179489.204211582010647007
12502580,1621933420,16365364.480640795220070681,201179489.204211582010647007
12507580,1622000365,16538265.646213996087489223,201179489.204211582010647007
12512580,1622067621,16538265.646213996087489223,201179489.204211582010647007
12517580,1622134875,16538265.646213996087489223,201179489.204211582010647007
12522580,1622201574,16589047.173463310183055588,201179489.204211582010647007
12527580,1622268823,16589047.173463310183055588,201179489.204211582010647007
12532580,1622335648,16589047.173463310183055588,201179489.204211582010647007
12537580,1622403055,16590429.246014389466249279,201179489.204211582010647007
12542580,1622470525,16590429.246014389466249279,201179489.204211582010647007
12547580,1622537486,16632271.998614938805580074,201179489.204211582010647007
